"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","category"
"55","58e9a80fa4034cbf4baeaf7ef00820b9",427,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"56","82250d6364e5cab4ddd84ed9424eeb66",429,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"57","f6f5eda7e1b6419ffc762dc47bd34713",423,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"58","1c2b6b40b5371a5adc590891cc1b34ba",432,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"59","1ad43289469c20d7d8d420be8e91543f",428,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"60","5ce5bd2061697b5ccb71e2fe0acf2369",427,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"61","7f2450073159006c5064991e08df3bc0",427,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"62","8e0710da139af2bd8a5120b06a8265c6",434,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"63","cd8c31c56b143559ae109043f5598920",427,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"64","13570eec4098b98c8dd51fa8b7ec6a66",431,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"65","679d54defa1baadd27c6717b469a3394",430,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"66","844ef2ab3bd8bb933f55a87838375606",429,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"67","c8dfc298afda5f57a33ac8905fb52f2a",422,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"68","14e93ecfbbf4e0b4084b0f2df63de50e",434,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"69","c33d110963c1154042c69372418706e3",429,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"70","499fb8e38cfe0d84127751c0a05c47e5",429,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"71","54ec5f249f3583d2e8c46ba2cb09d01f",427,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"72","edfb9002e631256a7d614d43e5d1a844",428,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"73","7ab57027752977cf4d1ce72d5fee0ae9",431,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"74","f2ddebf55c82adf6b017227ab91816d5",430,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"75","2847788f06da3b2c344b7a564b2aa6cd",430,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"76","4ceeb68bb7a9c3f1d11fa0ea0faab55d",429,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"77","6f916a32914c5c06dc0410c5818fce00",425,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"78","0310e17280cfd6bce17e2b8f8002bd6a",430,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"79","f9ad9327a4d154239961d4e834794768",429,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"80","e7f5332e47e85cac2be49eae78d2bac4",430,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"81","32046c267520a34f8b108488499d6c72",429,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"82","8532505698bb282d1418ad3bf0ce910f",427,"male","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
"83","4389fc850ef338744fb4ce7c767e9ef2",434,"female","GMC late adult (53 weeks)","HMGULA_001","X-ray","HMGULA_XRY_001","HMGULA_XRY","Digit integrity","HMGULA_XRY_031_001","yes"
